"PID","ID","CID","Title","Definition","Includes","Excludes","Examples"
"2","21","","Agriculture, forestry, fishing and mining for own final use","Refers to the production of goods from agriculture, forestry, fishing and mining mainly intended for own final use.","– 211 Growing crops and kitchen gardening, for own final use– 212 Farming of animals and production of animal products, for own final use– 213 Hunting, trapping and production of animal skins, for own final use– 214 Forestry and logging, for own final use– 215 Gathering wild products, for own final use– 216 Fishing, for own final use– 217 Aquaculture, for own final use– 218 Mining and quarrying, for own final use","– 22 Making and processing goods for own final use– 23 Construction activities for own final use– 24 Supplying water and fuel for own household or for own final use– 25 Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods– Activities for entirely recreational purposes (8)",""
"2","21","211","Growing crops and kitchen gardening, for own final use","Refers to activities to produce (growing and harvesting) crop products mainly intended for own final use. This group also considers service activities incidental to agriculture, such as support activities to agriculture and post–harvest crop activities, such as preparation of field, trimming trees, harvesting, preparation of crops for consumption or processing (cleaning, trimming, grading, disinfecting), etc.Considered farm, garden, kitchen or backyard gardening.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 01, Groups 011–013 and Classes 0161, 0163 and 0164)","– Growing of cereal and other crops, vegetables, fruit, nuts, spice crops, flowers, mushrooms and berries, and other horticultural specialties etc. (including farm, garden, kitchen or backyard gardening); processing for storage/use (for own final use)– Land preparation including ploughing, use of kodale, harrowing, beating clods, slash and burn (for own final use)– Sowing and planting operations including seedbed preparation, sowing, transplanting (for own final use)– Collecting and preparing organic fertilizer, carrying and spreading organic/chemical fertilizer (for own final use)– Field/garden upkeep including weeding, watering, trimming (for own final use)– Harvesting including bundling, threshing and cleaning of grain, drying crop residue (for own final use)– Post harvest activities including drying, seed selection, bagging and storage (for own final use)– Other agricultural service activities including routine repair of irrigation channels, guarding/protection of harvest, maintenance and routine repair of tools and equipment (for own final use)– Other specified activities related to growing of crops (for own final use)","– Field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) (128 or 23)– 212 Farming of animals and production of animal products, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Providing agronomist services (133)– Providing landscape architecture services (133)– Attending agricultural show/fair (811)– Preserving fruit and vegetables, including dehydration by artificial means for the market (127)– Activities to produce crop product for the market (121)– Any subsequent processing of the agriculttural products (127 or 22)","– Watered fields (for own final use)– Collected apples (for own final use)– Prepared fields (for own final use)– Treated crops (for own final use)– Sprayed crops (including by air) (for own final use)– Trimmed fruit trees and vines (for own final use)– Transplanted rice (for own final use)– Thinned beets (for own final use)– Harvested (for own final use)– Growing taro/kava (for own final use)"
"2","21","212","Farming of animals and production of animal products, for own final use","Refers to activities to raise animals and produce animal products mainly intended for own use. This group also considers service activities incidental to raising animals and producing animal products, such as support activities for animal production such as activities to promote propagation, growth and output of animals.– Animal production is defined as raising (farming) and breeding of all animals, except aquatic animals, such as raising of cattle and buffaloes; raising of horses and other equines; raising of camels and camelids; raising of sheep and goats; raising of swine/pigs; raising of poultry; etc.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 01, Group 014 and Class 0162)","– Farming/raising of domestic and semi–domesticated animals (for own final use)– Shearing; production of fur skins, reptile and bird skins from ranching (for own final use)– Production of live animal products such as eggs, honey (for own final use)– Operating poultry hatcheries (for own final use)– Fodder collection; preparation of feed; feeding, watering; grazing (for own final use)– Grooming, shoeing, cleaning (for own final use)– Washing shed, coop cleaning (for own final use)– Work related to breeding and hatching of non-aquatic animals (for own final use)– Milking and production of raw milk (for own final use)– Collecting, storing, grading of eggs (for own final use)– Shearing (for own final use)– Dung–gathering and making dung cakes (for own final use)– Other specified activities related to animal farming, production of animal products, animal husbandry services (for own final use)","– 122 Raising animals for the market in household enterprises– 127 Making and processing goods for the market in household enterprises– 213 Hunting, trapping and production of animal skins, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– 36 Pet care– Processing of milk (127 or 221)– Production of aquatic animals (124, 125 or 216, 217)","– Tested herd (collected samples to measure yield and composition of milk production) (for own final use)– Drove cattle (for own final use)– Caponized poultry (for own final use)– Cleaned coop (for own final use)– Artificial insemination of cow (for own final use)– Milked cows (for own final use)– Sheared sheep (for own final use)– Made dung cakes for own fuel (for own final use)– Fed and watered animals (for own final use)"
"2","21","213","Hunting, trapping and production of animal skins, for own final use","Refers to the hunting, trapping of animals to obtain meat, hair, skin or other products mainly intended for own final use.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 01, Group 017)","Includes: – Hunting and trapping wild animals: digging holes, setting traps, keeping watch etc. (for own final use)– Hunting birds (for own final use)– Taking of animals (dead or alive) for food, fur, skin, production of fur skins (for own final use)– Production of fur skins, reptile or bird skins from hunting and trapping (for own final use)– Land–based catching of sea mammals such as walrus and seal (for own final use)– Other specified activities related to hunting and production of animal skins (for own final use)","– Catching marine mammals, except walrus and seals (216)– Hunting for entirely recreational purposes (8)","– Hunted goose (for own final use)– Processed the skin of a bear (for own final use)"
"2","21","214","Forestry and logging, for own final use","Refers to the activities to produce roundwood mainly intended for own final use. Besides the production of timber, forestry activities result in products that undergo little processing, such as charcoal, wood chips and roundwood used in an unprocessed form (e.g. pit–props, pulpwood etc.). These activities can be carried out in natural or planted forests. This group also considers service activities incidental to forestry and logging.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 02 Forestry and logging except 023 Gathering of non–wood forest products)","– Silviculture and other forestry activities: growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts), growing of coppice and pulpwood, operation of forest tree nurseries (for own final use)– Logging: production of roundwood for forest–based manufacturing industries, production of roundwood used in an unprocessed form such as pit–props, fence posts and utility poles, gathering and production of fire wood for the market, production of charcoal in the forest (using traditional methods) (for own final use)– Support services to forestry to carry out the operation: forestry inventories, forest management consulting services, timber evaluation, forest fire fighting and protection, forest pest control, transport of logs within the forest (for own final use)","– 123 Forestry and logging for the market in household enterprises– 215 Gathering wild products, for own final use– 241 Gathering firewood and other natural products used as fuel for own final use– Growing of Christmas trees for the market (121)– Operation of tree nurseries (121)– Growing mushrooms or truffles, growing of berries or nuts (121)","Examples: – Cut wood (for own final use)– Located trees to be felled (for own final use)– Helped reforestation in an area, growing forest trees, replanting forest trees (for own final use)"
"2","21","215","Gathering wild products, for own final use","Refers to the gathering of fruit, wild fruits, wild mushrooms and berries, medicinal and other plants; gathering minor forest products, leaves, bamboo, etc. mainly intended for own final use.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 02 Forestry and logging 023 Gathering of non–wood forest products)","– Gathering of non–wood forest products and other plants growing in the wild: mushrooms, truffles, berries, nuts, balata and other rubber–like gums, cork, lac and resins, balsams, vegetable hair, eelgrass, acorns, horse chestnuts, mosses and lichens, etc. (for own final use)– Gathering medicinal and other plants for craft production including: hemp, betel nuts, bamboo, leaves, etc. (for own final use)– Gathering wild fruits, berries or other uncultivated crops, other edible food (for own final use)","– 123 Forestry and logging for the market in household enterprises– 214 Forestry and logging, for own final use– 241 Gathering firewood and other natural products used as fuel for own final use– Cutting peat (126 or 218)– Growing mushrooms and berries (121 or 211)","– Collected berries for my home–made tart (for own final use)– Collected leaves and vegetables for own use (for own final use)"
"2","21","216","Fishing, for own final use","Refers to activities mainly intended for own final use to capture fishery, i.e. the hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans) including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear such as nets, lines and stationary traps. Such activities can be conducted on the intertidal shoreline (e.g. collection of molluscs such as mussels and oysters) or shore based netting, or from home–made dugouts or more commonly using commercially made boats in inshore, coastal waters or offshore waters. – (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 03, Group 031 Fishing)","– Marine fishing and freshwater fishing (for own final use)– Catching fish and other forms of aquatic life and products (for own final use)– Gathering marine materials such as natural pearls, sponges, corals, algae, seashells (for own final use)– Repair, care and maintenance of fishing boats and equipment, tools, fishnets (for own final use)– Other specified activities related to fishing (for own final use)","– 122 Raising animals for the market in household enterprises– 124 Fishing for the market in household enterprises– 125 Aquaculture for the market in household enterprises– 127 Making and processing goods for the market in household enterprises– 213 Hunting, trapping and production of animal skins, for own final use– 217 Aquaculture, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Capturing of marine mammals, except whales, e.g. walruses, seals (122 or 213)– Processing of fish, crustaceans and molluscs on factory ships or in factories ashore (127)– Building of ships and boats (127 or 22)– Processing of fish, crustaceans or molluscs (127 or 227)– Fishing for entirely recreational purposes (8)","– Fishing in ocean and costal waters (for own final use)– Collected of marine crustaceans and molluscs (for own final use)– Collected of marine aquatic animals: turtles, sea squirts, tunicates, sea urchins etc. (for own final use)"
"2","21","217","Aquaculture, for own final use","Refers to activities mainly intended for own final use for the production process involving the culturing or farming (including harvesting) of aquatic organisms (fish, molluscs, crustaceans, plants, crocodiles, alligators and amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example regular stocking, feeding and protection from predators). Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms. – Aquaculture or aquafarming– (Activities performed in relation to economic activities described under ISIC rev. 4 Section A, Division 03, Group 032 Aquaculture)","– Fish farming (for own final use)– Marine aquaculture and freshwater aquaculture (for own final use)– Fish/aquatic farming: Breeding, rearing (for own final use)– Fish/aquatic farming: Cleaning beds, feeding (for own final use)– Repair, care and maintenance of fishing boats and equipment, tools, fishnets (for own final use)– Other specified activities related to fish/aquatic farming (for own final use)","– 122 Raising animals for the market in household enterprises– 124 Fishing for the market in household enterprises– 125 Aquaculture for the market in household enterprises– 127 Making and processing goods for the market in household enterprises– 213 Hunting, trapping and production of animal skins, for own final use– 216 Fishing, for own final use– 221 Making, processing food products, beverages and tobacco for own final use– Capturing of marine mammals, except whales, e.g. walruses, seals (122 or 213)– Processing of fish, crustaceans and molluscs on factory ships or in factories ashore (127)– Building of ships and boats (127 or 22)– Processing of fish, crustaceans or molluscs (127 or 227)– Fishing for entirely recreational purposes (8)","– Checked fish hatcheries (for own final use)– Checked marine worm farm (for own final use)– Farmed frogs (for own final use)"
"2","21","218","Mining and quarrying, for own final use","Refers to activities mainly intended for own final use related to the extraction of minerals occurring naturally as mainly solids (coal, ores and rocks). This group also considers supplementary activities aimed at preparing the crude materials for use or storage, for example, crushing, grinding, cleaning, drying, sorting, concentrating ores and agglomeration of solid fuels.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section B Mining and quarrying)","– Mining/extraction of salt (for own final use)– Quarrying of stone slabs (for own final use)– Mining of coal (for own final use)– Crushing and breaking of stones (for own final use)– Digging out clay, gravel and sand (for own final use)– Extraction of peat (for own final use)– Other specified mining and quarrying activities (for own final use)","– 126 Mining and quarrying for the market in household enterprises","– Collected unprocessed salt for own use (for own final use)– Dug rocks out of quarry (for own final use)– Extracted peat (for own final use)"
"2","22","","Making and processing goods for own final use","Refers to the manufacturing of products/goods mainly intended for own final use.","– 221 Making, processing food products, beverages and tobacco for own final use– 222 Making, processing textiles, wearing apparel, leather and related products, for own final use– 223 Making, processing of wood and bark products, for own final use – 224 Making, processing bricks, concrete slabs, hollow blocks, tiles for own final use– 225 Making, processing herbal and medicinal preparations for own final use– 226 Making, processing metals and metal products for own final use– 227 Making, processing of products using other materials for own final use– 229 Acquiring supplies and disposing of products and other activities related to making and processing goods for own final use","– 21 Agriculture, forestry, fishing and mining for own final use– 23 Construction activities for own final use– 24 Supplying water and fuel for own household or for own final use– 25 Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",""
"2","22","221","Making, processing food products, beverages and tobacco for own final use","Refers to all activities mainly intended for own final use related to the manufacturing of food products, beverages and tobacco products.– Manufacturing of food products considers processing and preserving of meat, fish, crustaceans and molluscs, fruit and vegetables; manufacture of vegetable and animal oils and fats, dairy products, grain mill products, starches and starch products, bakery products, sugar, cocoa, chocolate and sugar confectionery, macaroni, noodles, couscous and similar farinaceous products, prepared meals and dishes; manufacture of prepared animal feeds.– Manufacturing of beverages includes distilling, rectifying and blending of spirits; manufacture of wines, malt liquors and malt; soft drinks; production of mineral waters and other bottled waters.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Divisions 10, 11 and 12)","– Production, processing and preserving of meat and meat products: Slaughtering, dressing, curing, smoking, drying, salting storing etc. of meat (for own final use)– Making dairy products: Milk processing, production of butter, ghee, cheese, curd, whey, cream etc. (for own final use)– Processing and preserving of fish and fish products: Drying, smoking, salting, immersing in brine etc.; production of fish meal (for own final use)– Processing and preserving of fruits and vegetables: Pickling, salting, drying, roasting, grinding, oil pressing/production, jam and jelly–making; canning and bottling and all activities in connection with them, for example, cleaning berries, boiling of jam or juice (for own final use)– Processing grains: Husking, drying, threshing grains, winnowing (for own final use)– Making of flour, grain mill products, starches and starch products, and prepared animal feeds (for own final use)– Beer–brewing and making of other beverages, wines or spirits (for own final use)– Baking bread, cakes, rice cakes, pastries, pies, tarts, biscuits (for own final use)– Making noodles, pasta and similar products (for own final use)– Making candy, boiled sweets, caramel, chocolate, and other sugar confectionery products (for own final use)– Roasting seeds, nuts (for own final use)– Roasting, grinding coffee beans (for own final use)– Other specified activities related to processing of food products, beverages and tobacco (for own final use)","– Making, processing food products, beverages and tobacco for the market (127)– Production of raw milk (123 or 212)– Preparation of food for immediate consumption (31)","– Baked a cake (for own final use)– Prepared jam (for own final use)– Stemming and redrying tobacco (for own final use)– Made pickles (for own final use)– Dried fish (for own final use)"
"2","22","222","Making, processing textiles, wearing apparel, leather and related products, for own final use","Refers to the making, processing of textiles, wearing apparel, leather and related products mainly intended for own final use.– Manufacture of textiles considers preparation and spinning, weaving and finishing of textiles; manufacture of knitted and crocheted fabrics, made–up textile articles– Manufacture of wearing apparel considers manufacture of wearing apparel, including fur apparel and articles of fur; knitted and crocheted apparel.– Manufacture of leather and related products considers tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur and manufacture of footwear.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Divisions 13, 14 and 15)","– Spinning, weaving, finishing of textiles (for own final use)– Producing articles from textile such as making blankets, rugs, pillows, rags/dust cloths, making carpets or mats by weaving, tufting, braiding etc., knitting or crocheting articles; embroidery and needlework (for own final use)– Making wearing apparel (for own final use)– Curing of skins and production of leather, tanning and dressing of leather (for own final use)– Making shoes, footwear, handbags, luggage (for own final use)– Other specified activities related to making textiles, wearing apparel, leather and associated products (for own final use)","– Making, processing textiles, wearing apparel, leather and related products and crafts, for the market (127)","– Tailored a suit for my husband (for own final use)– Knitted a sweater (for own final use)– Made jute carpet for own use (for own final use)"
"2","22","223","Making, processing of wood and bark products, for own final use","Refers to the making and processing of wood and bark products mainly intended for own final use.– This group considers sawmilling and planning of wood; manufacture of products of wood, cork, straw and plaiting materials; manufacture of veneer sheets and wood–based panels; manufacture of builders' carpentry and joinery; manufacture of wooden containers; manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials; manufacture of furniture.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Division 16 and 31)","– Making wood products including furniture, fixtures or furnishings, statuettes and other ornaments (for own final use)– Cutting, carving, sanding, varnishing, painting of wood, assembling (for own final use)","– Making, processing of wood and bark products and crafts, for the market (127)– Logging and production of trees (122 or 214)","– Cut wood for a table (for own final use)– Carved a frame (for own final use)– Made small furniture for own use"
"2","22","224","Making, processing bricks, concrete slabs, hollow blocks, tiles for own final use","Refers to the making and processing of bricks, concrete slabs, hollow blocks, tiles and other non-metallic products mainly intended for own final use.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Division 23 except ISIC 231)","– Making bricks, concrete slabs, hollow blocks, tiles and other non-metallic products for own final use","– Making, processing bricks, concrete slabs, hollow blocks, tiles, etc. for the market (127)– 128 Construction activities for the market in household enterprises– 23 Construction activities for own final use","– Produced bricks for my house (for own final use)"
"2","22","225","Making, processing herbal and medicinal preparations for own final use","Refers to the making and processing of herbal and medicinal preparations mainly intended for own final use.– This group considers preparation of pharmaceuticals, medicinal chemical and botanical products.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Division 21)","– Making herbal and medicinal preparations for own final use","– Making, processing herbal and medicinal preparations for the market (127)– 412 Providing medical care to children– 422 Assisting dependent adults with medical care– 932 Health/medical care to oneself– 942 Receiving health/medical care from others","– Prepared homeopathic medicine for own final use– Making Aurvedic (traditional) medicines for own use– Producing herbal medicines for own use"
"2","22","226","Making, processing metals and metal products for own final use","Refers to the making and processing of metals and metal products and tools mainly intended for own final use.Processing metals refers to smelting and refining; foundrying; forging and stamping; welding and thermal cutting; lathing; grinding and polishing (Source: ILO Encyclopaedia of Occupational Health and Safety, accessed at http://www.iloencyclopaedia.org/part-xiii-12343/metal-processing-and-metal-working-industry on 26 September 2016)– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Divisions 24, 25, 28, 29, 30, 33)","– Metal working including: making window grills, metal gates, vehicle body (for own final use)– Repairing, installing machinery, motor vehicles (for own final use)","– 127 Making and processing goods for the market in household enterprises","– Making small metal tools for own use– Repairing own machines for own use"
"2","22","227","Making, processing of products using other materials for own final use","Refers to the making and processing of products and goods using other materials not elsewhere specified or classified mainly intended for own final use .– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Divisions 17, 18, 20, 22, 26, 27 and 32, and Group 231)","– Fabricating utensils, cutlery, hand tools and other metal products (for own final use)– Making pottery, ovens and cooking stoves, ornaments etc. from clay, plaster or cement (for own final use)– Making paper and paper products; paper crafts (for own final use)– Making soap, perfume, candles etc. (for own final use)","– 222 Making, processing textiles, wearing apparel, leather and related products, for own final use– 223 Making, processing of wood and bark products, for own final use – 227 Making, processing of products using other materials for own final use– Making, processing crafts using other materials, for the market (127)– Making baskets, wickerwork and other similar products (weaving, varnishing etc.) (223)","– Produced a glass mirror for my bathroom (for own final use)– Made a toy animal for my kid (for own final use)– Made jewellery for myself (for own final use)– Made stoves with clay (for own final use)"
"2","22","229","Acquiring supplies and disposing of products and other activities related to making and processing goods for own final use","Refers to other activities related to making and processing goods mainly intended for own final use, including the acquisition of supplies or disposal of products.","– Purchasing/acquiring inputs/supplies used for production activities for own final use– Disposing of outputs of production activities for own final use– Includes: Selling handicrafts, food products etc. produced for leisure or pastime or in connection with a hobby, at garage or yard sale","– 37 Shopping (for household and family members)– Acquiring supplies and disposing of products related activities to produce goods or provide services for the market (129)","– Bought glass to make a mirror for my bathroom (for own final use)– Buying cloth for stitching curtains for own use"
"2","23","","Construction activities for own final use","See Group 230","","",""
"2","23","230","Construction activities for own final use","Refers to activities for the construction for own capital formation, such as laying bricks, plastering, glazing, thatching, cutting glass, plumbing, carpentry, tiling, electric wiring, floor sanding, installing carpets as well as own-use construction and repair of buildings, roads, dams and other structures.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section F Construction)","– Building of own house for own capital formation– Major home improvements and repairs such as additions to, remodelling and major repairs done to the house, garage, roof for own capital formation– Building and repair of animal and poultry sheds/shelter, business place, field walls/fences, storage facilities for farm produce, irrigation for own capital formation– Other specified activities related to construction and repair for own capital formation","– 128 Construction activities for the market in household enterprises– 331 Do-it-yourself improvement, maintenance and repair of own dwelling","– Built a wall/fence at home (for own capital formation)– Constructed own house/hut (for own capital formation)– Major repair of own home (for own capital formation)"
"2","24","","Supplying water and fuel for own household or for own final use","Refers to the collection of water and fuel mainly intended for own final use.","– 241 Gathering firewood and other natural products used as fuel for own final use– 242 Fetching water from natural and other sources for own final use","– 21 Agriculture, forestry, fishing and mining for own final use– 22 Making and processing goods for own final use– 23 Construction activities for own final use– 25 Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",""
"2","24","241","Gathering firewood and other natural products used as fuel for own final use","Refers to the collection of firewood/twigs and other natural products used as fuel mainly intended for own final use.– Other natural products used as fuel such as dry grass, dry manure, dry moss, coconut husk, etc.","– Picking dead or fallen branches, etc.  (for own final use)","– 123 Forestry and logging for the market in household enterprises– 214 Forestry and logging, for own final use","– Collected wood for the fire to heat our house (for own final use)"
"2","24","242","Fetching water from natural and other sources for own final use","Refers to the collection, storing, treating and distribution of water mainly intended for own final use. Water can be from any source (natural, tapped, free, etc.)","– Collecting water (for own final use)– Treating, disinfecting, purifying water (for own final use)– Storing water (for own final use)– Distributing water for different uses (for own final use)","– 325 Tending furnace, boiler, fireplace for heating and water supply","– Brought water for laundry (for own final use)– Carried water (for own final use)– Collected water from rivers, lakes, wells etc. (for own final use)– Collected rain water (for own final use)– Purified water for water supply purposes (for own final use)– Treated water for industrial and other purposes (for own final use)– Desalted sea or ground water to produce water for the use of the household (for own final use)"
"2","25","","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods","See Group 250","","",""
"2","25","250","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods","Refers to the travelling, moving, transporting or accompanying goods or persons related to the production of goods mainly intended for own final use.","– Driving motorized vehicles, hand and pedal vehicles, animal–drawn carts etc.; sailing/rowing boats, barges etc.; piloting aircraft– Carrying and loading goods– Maintaining and repairing vehicles, boats etc.– Waiting for passengers, cargo","– 181 Employment-related travel– 38 Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household and family members– 44 Travelling and accompanying goods or persons related to unpaid caregiving services for household and family members","– Took a taxi to bring home the glass for the mirror for our bathroom– Waiting car or bus or public transportation to go to place of production of goods– Carrying wood from forest to construct own door"
"3","","","Unpaid domestic services for household and family members","Refers to activities to provide services for own final use (excluding unpaid caregiving services for household and family members classified under major division 4). – Provision of 'services' is beyond the 2008 SNA production boundary but inside the General production boundary and covers:– (i) household accounting and management, purchasing and/or transporting goods;– (ii) preparing and/or serving meals, household waste disposal and recycling;– (iii) cleaning, decorating and maintaining one's own dwelling or premises, durables and other goods, and gardening;– (iv) caring for domestic animals or pets;– (v) childcare and instruction, transporting and caring for elderly, dependent or other household and family members, etc. (major division 4)– 'Households and family members' refers to 'household members and related family members living in other households' who are related, to a specified degree, through blood, adoption or marriage.– Note: In these divisions of activities it is assumed that working time arrangements are generally more informal or flexible compared to those under 1. Thus, this division does not include specific groups for short breaks and for lunch breaks. Activities associated with such breaks from work are classified in the corresponding class; for example, eating snack/meals is classified under 921 Eating meals/snack.","– 31 Food and meals management and preparation– 32 Cleaning and maintaining of own dwelling and surroundings– 33 Do-it-yourself decoration, maintenance and repair– 34 Care and maintenance of textiles and footwear– 35 Household management for own final use– 36 Pet care– 37 Shopping for own household and family members– 38 Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household and family members– 39 Other unpaid domestic services for household and family members","– 1 Employment and related activities– 2 Production of goods for own final use– 4 Unpaid caregiving services for household and family members– 5 Unpaid volunteer, trainee and other unpaid work",""
"3","31","","Food and meals management and preparation","Refers to all activities in connection with food and meals management and preparation for household and family members","– 311 Preparing meals/snacks– 312 Serving meals/snacks– 313 Cleaning up after food preparation/meals/snacks– 314 Storing, arranging, preserving food stocks– 319 Other activities related to food and meals management and preparation","– 136 Providing paid domestic services– 221 Making, processing food products, beverages and tobacco for own final use– 32 Cleaning and maintaining of own dwelling and surroundings– 33 Do-it-yourself decoration, maintenance and repair– 34 Care and maintenance of textiles and footwear– 35 Household management for own final use– 36 Pet care– 37 Shopping for own household and family members– 38 Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household and family members– 39 Other unpaid domestic services for household and family members– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair",""
"3","31","311","Preparing meals/snacks","Refers to preparing food (meals/snacks) for household and family members.","– Cooking– Heated up some food– Made meals, snacks, drinks for own children– Preparation of coffee, snacks, aperitifs, meals, etc.– Prepared a lunch box","– 136 Providing paid domestic services– 221 Making, processing food products, beverages and tobacco for own final use– 312 Serving meals/snacks– 313 Cleaning up after food preparation/meals/snacks– 314 Storing, arranging, preserving food stocks– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Cooked dinner– Preparing family lunches"
"3","31","312","Serving meals/snacks","Refers to the serving of meals/snacks.","– Serving food","– 136 Providing paid domestic services– 311 Preparing meals/snacks– 313 Cleaning up after food preparation/meals/snacks– 314 Storing, arranging, preserving food stocks– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Served food to my family"
"3","31","313","Cleaning up after food preparation/meals/snacks","Refers to activities before and after washing up, e.g. drying up, tidying away dishes, etc. related to food preparation.","– Washing dishes– Cleaning table","– 136 Providing paid domestic services– 311 Preparing meals/snacks– 312 Serving meals/snacks– 314 Storing, arranging, preserving food stocks– 321 Indoor cleaning– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Loaded/unloaded the dishwasher– Cleared the table after breakfast/lunch/snacks/dinner/supper/coffee– Washed dishes– Washed own kitchen after meals"
"3","31","314","Storing, arranging, preserving food stocks","Refers to the storing, arranging and preserving food stocks.","– Sorting out berries for preserving","– 136 Providing paid domestic services– 311 Preparing meals/snacks– 312 Serving meals/snacks– 313 Cleaning up after food preparation/meals/snacks– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Cleared the food back to the fridge– Cleaned the vegetables/fruits, canned tomatoes"
"3","31","319","Other activities related to food and meals management and preparation","Refers to all activities related to food and meals management and preparation not elsewhere specified or classified, including stoking/tending oven or fire for cooking","– Building fire","– 136 Providing paid domestic services– 311 Preparing meals/snacks– 312 Serving meals/snacks– 313 Cleaning up after food preparation/meals/snacks– 314 Storing, arranging, preserving food stocks– 325 Tending furnace, boiler, fireplace for heating and water supply– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Built fire– Turned on the oven"
"3","32","","Cleaning and maintaining of own dwelling and surroundings","Refers to the cleaning and maintenance of the dwelling and surroundings.","– 321 Indoor cleaning– 322 Outdoor cleaning– 323 Recycling and disposal of garbage– 324 Upkeep of in/outdoor plants, hedges, garden, grounds, landscape, etc.– 325 Tending furnace, boiler, fireplace for heating and water supply– 329 Other activities related to cleaning and upkeep of dwelling and surroundings","– 136 Providing paid domestic services– 31 Food and meals management and preparation– 33 Do-it-yourself decoration, maintenance and repair– 34 Care and maintenance of textiles and footwear– 35 Household management for own final use– 36 Pet care– 37 Shopping for own household and family members– 38 Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household and family members– 39 Other unpaid domestic services for household and family members– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair",""
"3","32","321","Indoor cleaning","Refers to the cleaning and maintenance of indoors of the dwelling.","– Routine cleaning of rooms, bathrooms, kitchen, etc.– Sweeping, vacuuming, washing, scrubbing, making beds, tidying, picking up, dusting, washing windows, arranging the home– Polishing/waxing floors and furniture– Seasonal cleaning– Cleaning after renovations– Cleaning before/after having guests","– 136 Providing paid domestic services– 322 Outdoor cleaning– 323 Recycling and disposal of garbage– 324 Upkeep of in/outdoor plants, hedges, garden, grounds, landscape, etc.– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Polished floors– Tidied up kids room"
"3","32","322","Outdoor cleaning","Refers to the cleaning and maintenance of outdoors of the dwelling.","– Routine outdoor cleaning of garage, yard, pool, frontage, pavement and lawns, outhouse, etc.– Raking of leaves, snow shovelling, putting on storm windows","– 136 Providing paid domestic services– 321 Indoor cleaning– 323 Recycling and disposal of garbage– 324 Upkeep of in/outdoor plants, hedges, garden, grounds, landscape, etc.– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Swept entrance"
"3","32","323","Recycling and disposal of garbage","Refers to the disposal and recycling of garbage.","– Sorting garbage– Take out garbage","– 129 Other activities related to employment in household enterprises to produce goods– 136 Providing paid domestic services– 139 Other activities related to employment in households and household enterprises providing services– 511 Unpaid volunteer household maintenance, management, construction, renovation and repair","– Sorting trash– Separating papers, bottles, tins, etc.– Took out garbage, waste– Bringing large trash to scrap yard"
